CustomerKey,FirstName,LastName,Gender,DateFirstPurchase,Customer City
11000,Jon,Yang,M,2022-01-19,Rockhampton
11001,Eugene,Huang,M,2022-01-15,Seaford
11002,Ruben,Torres,M,2022-01-07,Hobart
11003,Christy,Zhu,F,2021-12-29,North Ryde
11004,Elizabeth,Johnson,F,2022-01-23,Wollongong
11005,Julio,Ruiz,M,2021-12-30,East Brisbane
11006,Janet,Alvarez,F,2022-01-24,Matraville
11007,Marco,Mehta,M,2022-01-09,Warrnambool
11008,Rob,Verhoff,F,2022-01-25,Bendigo
11009,Shannon,Carlson,M,2022-01-27,Hervey Bay
11010,Jacquelyn,Suarez,F,2022-01-14,East Brisbane
11011,Curtis,Lu,M,2021-12-30,East Brisbane
11012,Lauren,Walker,F,2024-03-16,Bremerton
11013,Ian,Jenkins,M,2024-04-13,Lebanon
11014,Sydney,Bennett,F,2024-03-23,Redmond
11015,Chloe,Young,F,2024-01-18,Burbank
11016,Wyatt,Hill,M,2024-02-09,Imperial Beach
11017,Shannon,Wang,F,2022-01-12,Sunbury
11018,Clarence,Rai,M,2022-01-17,Bendigo
11019,Luke,Lal,M,2024-02-12,Langley
11020,Jordan,King,M,2023-12-29,Metchosin
11021,Destiny,Wilson,F,2024-01-23,Beaverton
11022,Ethan,Zhang,M,2024-01-20,Bellingham
11023,Seth,Edwards,M,2024-02-17,Bellflower
11024,Russell,Xie,M,2024-06-27,Concord
11025,Alejandro,Beck,M,2022-01-06,Hawthorne
11026,Harold,Sai,M,2022-01-23,Goulburn
11027,Jessie,Zhao,M,2022-01-16,Warrnambool
11028,Jill,Jimenez,F,2022-01-26,St. Leonards
11029,Jimmy,Moreno,M,2022-01-19,Bendigo
11030,Bethany,Yuan,F,2022-02-05,Cloverdale
11031,Theresa,Ramos,F,2022-02-01,Matraville
11032,Denise,Stone,F,2022-02-18,Melbourne
11033,Jaime,Nath,M,2022-02-15,Milsons Point
11034,Ebony,Gonzalez,F,2022-02-01,North Sydney
11035,Wendy,Dominguez,F,2022-02-06,Cranbourne
11036,Jennifer,Russell,F,2024-01-22,National City
11037,Chloe,Garcia,F,2024-01-20,Cliffside
11038,Diana,Hernandez,F,2022-02-07,Lavender Bay
11039,Marc,Martin,M,2022-02-07,Wollongong
11040,Jesse,Murphy,M,2024-04-03,Tacoma
11041,Amanda,Carter,F,2024-01-14,Glendale
11042,Megan,Sanchez,F,2024-01-21,Los Angeles
11043,Nathan,Simmons,M,2024-05-08,Glendale
11044,Adam,Flores,M,2022-02-28,Hervey Bay
11045,Leonard,Nara,M,2024-04-10,Matraville
11046,Christine,Yuan,F,2022-02-06,Lavender Bay
11047,Jaclyn,Lu,F,2022-02-03,Geelong
11048,Jeremy,Powell,M,2022-02-10,Sunbury
11049,Carol,Rai,F,2024-03-09,Chula Vista
11050,Alan,Zheng,M,2022-02-20,Hobart
11051,Daniel,Johnson,M,2024-12-29,Caloundra
11052,Heidi,Lopez,F,2022-02-17,Matraville
11053,Ana,Price,F,2024-01-17,San Diego
11054,Deanna,Munoz,F,2022-02-03,Geelong
11055,Gilbert,Raje,M,2022-01-31,East Brisbane
11056,Michele,Nath,F,2022-02-26,Newcastle
11057,Carl,Andersen,M,2022-02-22,Lane Cove
11058,Marc,Diaz,M,2022-03-09,Findon
11059,Ashlee,Andersen,F,2024-02-18,Townsville
11060,Jon,Zhou,M,2022-03-19,Warrnambool
11061,Todd,Gao,M,2022-03-13,Gold Coast
11062,Noah,Powell,M,2024-01-07,Portland
11063,Angela,Murphy,F,2024-01-12,Redmond
11064,Chase,Reed,M,2024-01-25,Downey
11065,Jessica,Henderson,F,2024-02-10,La Jolla
11066,Grace,Butler,F,2024-05-31,Lebanon
11067,Caleb,Carter,M,2024-08-18,Port Orchard
11068,Tiffany,Liang,F,2024-04-30,Warrnambool
11069,Carolyn,Navarro,F,2022-04-17,Gold Coast
11070,Willie,Raji,M,2022-04-28,Sunbury
11071,Linda,Serrano,F,2024-03-01,Hawthorne
11072,Casey,Luo,F,2022-03-31,St. Leonards
11073,Amy,Ye,F,2024-03-23,Springwood
11074,Levi,Arun,M,2024-03-23,Cloverdale
11075,Felicia,Jimenez,F,2022-04-28,Bendigo
11076,Blake,Anderson,M,2022-04-21,Wollongong
11077,Leah,Ye,F,2022-04-15,Melton
11078,Gina,Martin,F,2024-02-15,Cliffside
11079,Donald,Gonzalez,M,2024-03-15,Geelong
11080,Damien,Chander,M,2022-04-10,Perth
11081,Savannah,Baker,F,2024-02-12,Concord
11082,Angela,Butler,F,2024-01-22,Fremont
11083,Alyssa,Cox,F,2024-01-06,Lincoln Acres
11084,Lucas,Phillips,M,2024-01-04,Lebanon
11085,Emily,Johnson,F,2024-12-06,Newport Beach
11086,Ryan,Brown,M,2024-07-02,Santa Monica
11087,Tamara,Liang,F,2024-02-25,Chula Vista
11088,Hunter,Davis,M,2024-01-13,San Diego
11089,Abigail,Price,F,2023-12-29,Long Beach
11090,Trevor,Bryant,M,2022-08-07,Los Angeles
11091,Dalton,Perez,M,2024-01-29,Haney
11092,Cheryl,Diaz,F,2022-04-08,East Brisbane
11093,Aimee,He,F,2022-04-07,Wollongong
11094,Cedric,Ma,M,2024-04-07,Cranbourne
11095,Chad,Kumar,M,2022-04-01,Port Macquarie
11096,Andrés,Anand,M,2022-04-11,North Sydney
11097,Edwin,Nara,M,2022-04-04,Warrnambool
11098,Mallory,Rubio,F,2024-02-11,Rhodes
11099,Adam,Ross,M,2022-04-07,Port Macquarie
11100,Latasha,Navarro,F,2022-04-16,Cloverdale
11101,Abby,Sai,F,2022-04-29,Cranbourne
11102,Julia,Nelson,F,2024-07-16,Sydney
11103,Cassie,Chande,F,2022-04-15,Darlinghurst
11104,Edgar,Sara,M,2022-05-04,Gold Coast
11105,Candace,Fernandez,F,2022-05-14,Matraville
11106,Jessie,Liu,M,2022-05-18,Warrnambool
11107,Bianca,Lin,F,2022-05-01,St. Leonards
11108,Kari,Alvarez,F,2022-05-03,Port Macquarie
11109,Ruben,Kapoor,M,2022-05-10,South Melbourne
11110,Curtis,Yang,M,2022-05-01,Darlinghurst
11111,Meredith,Gutierrez,F,2022-05-20,Geelong
11112,Crystal,Wang,F,2022-05-25,Hervey Bay
11113,Micheal,Blanco,M,2024-02-01,Perth
11114,Leslie,Moreno,F,2024-03-18,Rhodes
11115,Alvin,Cai,M,2024-02-10,St. Leonards
11116,Clinton,Carlson,M,2024-03-15,Sydney
11117,April,Deng,F,2022-05-06,Matraville
11118,Alvin,Zeng,M,2024-07-10,Lavender Bay
11119,Evan,James,M,2024-02-03,Port Macquarie
11120,Beth,Jiménez,F,2022-05-14,Sydney
11121,Orlando,Suarez,M,2024-06-24,Newcastle
11122,Byron,Vazquez,M,2024-02-21,North Sydney
11123,Philip,Alvarez,M,2024-04-17,Sunbury
11124,Ross,Jordan,M,2022-05-05,Warrnambool
11125,Dana,Navarro,F,2024-01-31,Seaford
11126,Shaun,Carson,M,2022-05-28,North Ryde
11127,Jan,Edwards,F,2024-04-10,San Gabriel
11128,Samantha,Long,F,2024-06-19,Renton
11129,Julia,Wright,F,2022-08-06,Sedro Woolley
11130,Caroline,Russell,F,2024-12-09,Lebanon
11131,Amanda,Rivera,F,2024-10-18,Haney
11132,Melissa,Richardson,F,2024-04-09,Langford
11133,Angela,Griffin,F,2024-12-30,Lake Oswego
11134,Larry,Townsend,M,2022-05-03,Perth
11135,Marcus,Harris,M,2024-04-18,Burlingame
11136,Brianna,Morgan,F,2024-01-03,Metchosin
11137,Jasmine,Taylor,F,2024-07-31,Spokane
11138,Lauren,Davis,F,2024-09-19,Glendale
11139,Tanya,Moreno,F,2024-09-14,Cloverdale
11140,Javier,Alvarez,M,2024-03-19,Burbank
11141,Nicole,Ramirez,F,2024-05-16,Daly City
11142,Eduardo,Patterson,M,2024-02-13,Langford
11143,Jonathan,Henderson,M,2024-06-15,Lakewood
11144,Edward,Hernandez,M,2024-01-25,Ballard
11145,Jasmine,Coleman,F,2024-01-25,Beaverton
11146,Karla,Goel,F,2024-02-05,Matraville
11147,Ernest,Wu,M,2022-05-13,Warrnambool
11148,Ross,Vazquez,M,2024-03-07,East Brisbane
11149,Theodore,Gill,M,2024-06-04,Hervey Bay
11150,Russell,Shen,M,2024-03-27,Sunbury
11151,Melinda,Gill,F,2022-05-15,Sydney
11152,James,Williams,M,2024-01-09,Puyallup
11153,Angela,James,F,2024-03-29,Renton
11154,Megan,Walker,F,2024-01-10,Woodburn
11155,Hunter,Robinson,M,2024-01-06,Burbank
11156,Maria,Roberts,F,2024-01-08,Lakewood
11157,Hannah,Long,F,2024-07-24,Tacoma
11158,Jason,Wright,M,2024-01-19,San Gabriel
11159,Brianna,Hughes,F,2024-09-08,Woodland Hills
11160,Maurice,Tang,M,2024-02-21,Concord
11161,Emily,Wood,F,2024-06-01,Concord
11162,Chase,Cox,M,2024-02-18,La Jolla
11163,Gabriel,Wang,M,2024-05-01,Spring Valley
11164,Devin,Brooks,M,2024-04-27,Torrance
11165,Jocelyn,Alexander,F,2024-05-25,Oakland
11166,Ashley,Martinez,F,2024-10-14,Olympia
11167,Jasmine,Barnes,F,2024-01-07,Issaquah
11168,David,Rodriguez,M,2024-01-15,Oakland
11169,Bryce,Richardson,M,2024-05-26,Coronado
11170,Carol,Howard,F,2024-08-26,Burien
11171,Jonathan,Hill,M,2022-08-20,Woodland Hills
11172,Gabrielle,Adams,F,2024-05-03,Lynnwood
11173,Sarah,Thomas,F,2024-03-02,W. Linn
11174,Nicholas,Robinson,M,2024-07-13,Los Angeles
11175,Luis,Wang,M,2022-08-28,Beverly Hills
11176,Mason,Roberts,M,2024-02-02,Haney
11177,Jose,Flores,M,2024-03-29,San Diego
11178,Nathan,Johnson,M,2024-02-21,Lakewood
11179,Molly,Rodriguez,F,2024-03-12,Beverly Hills
11180,April,Anand,F,2024-03-17,Chula Vista
11181,Devin,Martin,M,2024-05-07,Los Angeles
11182,Stephanie,Torres,F,2024-08-28,Sedro Woolley
11183,Jasmine,Lee,F,2024-04-30,Santa Cruz
11184,Meghan,Hernandez,F,2024-08-10,Concord
11185,Ashley,Henderson,F,2024-02-21,Metchosin
11186,Sarah,Price,F,2024-10-18,Palo Alto
11187,Jennifer,Cooper,F,2024-04-03,Burien
11188,Catherine,Morris,F,2024-11-01,San Gabriel
11189,Lawrence,Blanco,M,2022-08-26,Bellingham
11190,Carson,Bryant,M,2024-08-28,Beverly Hills
11191,Kristi,Perez,F,2022-08-11,Colma
11192,James,Brown,M,2024-06-23,Seattle
11193,Ian,Gray,M,2024-02-25,Woodburn
11194,Jacqueline,Price,F,2024-03-13,Palo Alto
11195,Megan,Henderson,F,2024-04-14,Renton
11196,Alfredo,Romero,M,2024-03-03,Beaverton
11197,Andrea,Morris,F,2024-05-02,Seattle
11198,Brooke,Sanders,F,2024-02-05,Santa Cruz
11199,Jacqueline,Bennett,F,2024-03-18,Burlingame
11200,Jason,Griffin,M,2024-02-07,Victoria
11201,Amanda,Foster,F,2024-07-01,Santa Monica
11202,Alexia,Price,F,2024-09-15,Lakewood
11203,Luis,Diaz,M,2024-02-20,Port Hammond
11204,Destiny,Rivera,F,2024-08-09,Beaverton
11205,Abby,Fernandez,F,2024-07-27,Burien
11206,Blake,Flores,M,2024-05-11,Lynnwood
11207,Danielle,Cox,F,2024-01-31,Renton
11208,Maria,Reed,F,2024-03-04,Glendale
11209,Allison,Evans,F,2024-03-25,Lincoln Acres
11210,Edward,Wood,M,2024-05-06,West Covina
11211,Samantha,Russell,F,2024-02-01,Haney
11212,Chloe,Campbell,F,2024-01-30,Metchosin
11213,Stephanie,Murphy,F,2024-03-28,Edmonds
11214,Charles,Miller,M,2024-08-14,Milwaukie
11215,Ana,Perry,F,2024-02-15,Royal Oak
11216,Jasmine,Torres,F,2022-08-15,Portland
11217,Natalie,Adams,F,2022-08-10,Portland
11218,Olivia,Brown,F,2024-02-28,Tacoma
11219,Charles,Cook,M,2024-10-29,Woodburn
11220,Erica,Huang,F,2024-03-14,Colma
11221,Nathan,Perry,M,2024-04-07,Lakewood
11222,Alexandra,Rivera,F,2024-11-01,Santa Monica
11223,Hailey,Patterson,F,2024-01-29,Langley
11224,Tiffany,Li,F,2022-08-07,Burien
11225,Madison,Lee,F,2024-06-22,Renton
11226,Sydney,Ross,F,2024-02-21,W. Linn
11227,Marshall,Chavez,M,2022-08-03,Colma
11228,Ashley,Jones,F,2024-10-25,El Cajon
11229,Adrian,Stewart,M,2024-07-27,Redwood City
11230,Amber,Turner,F,2024-07-16,Santa Monica
11231,Dennis,Zhang,M,2024-02-10,Bremerton
11232,Hailey,Bryant,F,2024-09-20,Everett
11233,Todd,Li,M,2024-02-08,Berkeley
11234,Anna,Griffin,F,2024-02-08,Long Beach
11235,Angel,Stewart,M,2024-07-04,Ballard
11236,Jeremy,Butler,M,2024-10-03,Bellingham
11237,Clarence,Anand,M,2022-09-05,Solingen
11238,Mayra,Prasad,F,2022-01-06,Birmingham
11239,Latoya,Goel,F,2022-01-19,London
11240,Anne,Hernandez,F,2022-02-27,Watford
11241,Lisa,Cai,F,2023-09-10,Les Ulis
11242,Larry,Munoz,M,2023-09-19,Versailles
11243,Robin,Alvarez,F,2022-02-21,Esher-Molesey
11244,Alexis,Coleman,F,2022-02-12,Runcorn
11245,Ricky,Vazquez,M,2022-09-26,Hamburg
11246,Latasha,Rubio,F,2022-10-03,Hamburg
11247,Claudia,Zhou,F,2022-02-18,Lancaster
11248,Tristan,Alexander,M,2024-07-14,Saint-Denis
11249,Cindy,Patel,F,2022-10-09,Sulzbach Taunus
11250,Shannon,Liu,F,2022-03-17,Woolston
11251,Xavier,Long,M,2024-10-18,Haney
11252,Nicholas,Thompson,M,2022-08-14,Lemon Grove
11253,José,Hernandez,M,2024-03-01,Victoria
11254,Johnathan,Vance,M,2024-11-23,Burien
11255,Colin,Lin,M,2024-02-23,Burien
11256,Katelyn,Hernandez,F,2024-04-15,Lynnwood
11257,Jacqueline,Powell,F,2022-08-24,Newport Beach
11258,Xavier,Hill,M,2024-05-21,Palo Alto
11259,Victoria,Stewart,F,2022-09-04,Salem
11260,Katelyn,Kelly,F,2024-02-05,Burlingame
11261,Stephanie,Collins,F,2022-09-27,San Diego
11262,Jennifer,Simmons,F,2024-02-27,Port Hammond
11263,Trinity,Richardson,F,2022-08-29,Burien
11264,Eduardo,Martin,M,2024-01-02,Issaquah
11265,Elizabeth,Jones,F,2024-01-03,Kirkland
11266,Taylor,Howard,F,2022-09-10,Port Orchard
11267,David,Diaz,M,2022-09-17,Burlingame
11268,Katelyn,Carter,F,2024-05-29,Coronado
11269,Ryan,Foster,M,2024-08-22,Daly City
11270,Robert,Lee,M,2022-09-10,Lakewood
11271,Danielle,Reed,F,2022-09-27,San Francisco
11272,Lauren,Martinez,F,2022-09-19,Beverly Hills
11273,Nathan,Lal,M,2024-05-14,La Jolla
11274,Kyle,Foster,M,2022-08-29,Bellingham
11275,Jenny,Rai,F,2022-08-30,Colma
11276,Nancy,Chapman,F,2024-01-29,Cliffside
11277,Charles,Jackson,M,2024-02-02,Royal Oak
11278,Jonathan,Phillips,M,2022-09-16,Edmonds
11279,Amanda,Cook,F,2024-03-03,Everett
11280,Robert,Collins,M,2024-07-01,Lynnwood
11281,Megan,Barnes,F,2022-09-13,Burbank
11282,Christian,Thomas,M,2022-08-31,Burien
11283,Arturo,Lal,M,2024-05-29,Berkeley
11284,Theresa,Serrano,F,2024-02-06,Chula Vista
11285,Jeremy,Anderson,M,2024-07-27,Fremont
11286,Hunter,Griffin,M,2022-09-21,Torrance
11287,Henry,Garcia,M,2024-01-29,Cliffside
11288,Cindy,Sanchez,F,2024-03-05,Burbank
11289,Maria,Carter,F,2022-09-08,Downey
11290,Katelyn,Sanchez,F,2022-09-20,Lakewood
11291,Jenna,Wright,F,2022-09-04,Lemon Grove
11292,Seth,Phillips,M,2022-09-15,San Gabriel
11293,Luke,Long,M,2024-02-24,Port Orchard
11294,Dalton,Clark,M,2024-09-25,Issaquah
11295,Taylor,Lewis,F,2022-09-25,Concord
11296,Haley,Richardson,F,2022-09-01,Everett
11297,Noah,Coleman,M,2022-09-26,Burbank
11298,Jon,Luo,M,2022-09-12,Chula Vista
11299,Orlando,Vazquez,M,2022-09-26,Burbank
11300,Fernando,Barnes,M,2024-01-31,N. Vancouver
11301,Cameron,Rodriguez,M,2024-06-09,Ballard
11302,Spencer,Russell,M,2022-09-06,Corvallis
11303,Julia,Coleman,F,2022-09-02,Edmonds
11304,Julia,Garcia,F,2024-03-20,Portland
11305,Sean,Evans,M,2024-03-25,Chula Vista
11306,Micah,Zhou,M,2024-06-30,Coronado
11307,Hunter,Rodriguez,M,2022-09-04,Daly City
11308,Ian,Gonzales,M,2024-09-07,Oregon City
11309,Victoria,Lewis,F,2024-07-09,Beaverton
11310,Erin,Sanders,F,2024-08-12,San Francisco
11311,Gabrielle,Lopez,F,2024-04-18,Lynnwood
11312,Sara,Richardson,F,2024-05-17,Lynnwood
11313,Trevor,Jenkins,M,2024-05-07,Port Orchard
11314,Mya,Flores,F,2024-02-25,Issaquah
11315,Hailey,Ward,F,2024-05-20,Port Orchard
11316,Luke,Allen,M,2024-01-12,Langford
11317,Victoria,Russell,F,2022-09-01,Salem
11318,Jessica,Wilson,F,2024-10-17,Edmonds
11319,Jade,Bailey,F,2022-09-09,Oakland
11320,Morgan,Hill,F,2024-06-15,Glendale
11321,Terrance,Raman,M,2024-02-23,Burien
11322,Sydney,Garcia,F,2024-03-24,Bremerton
11323,Jose,Patterson,M,2022-09-10,Daly City
11324,Zachary,Anderson,M,2022-09-26,Glendale
11325,Elijah,Ross,M,2022-09-19,Seattle
11326,Rafael,Xie,M,2022-09-15,Beverly Hills
11327,Jaime,Moreno,M,2022-09-26,Burbank
11328,Julian,Griffin,M,2024-01-05,Newton
11329,Andy,Alvarez,M,2022-09-25,Concord
11330,Ryan,Thompson,M,2024-02-12,Oak Bay
11331,Samantha,Jenkins,F,2024-02-07,Shawnee
11332,Deanna,Ramos,F,2022-10-15,Berlin
11333,Emily,Miller,F,2022-03-21,Newcastle upon Tyne
11334,Nicole,Brown,F,2022-03-04,Stoke-on-Trent
11335,Carla,Raman,F,2022-10-23,Hof
11336,Shaun,Raji,M,2023-09-27,Paris
11337,Jerome,Romero,M,2022-03-09,Watford
11338,Frank,Navarro,M,2022-10-11,Bonn
11339,Dennis,She,M,2023-10-07,Paris
11340,Melody,Munoz,F,2023-10-27,Paris
11341,Randy,Zeng,M,2022-04-11,Cheltenham
11342,Marshall,Wang,M,2024-07-12,Boulogne-sur-Mer
11343,Arthur,Carlson,M,2022-04-04,Oxon
11344,Jessie,Jimenez,F,2022-05-13,Oxford
11345,Robin,Ramos,F,2023-10-22,Tremblay-en-France
11346,Deanna,Gutierrez,F,2023-10-01,Paris
11347,Roy,Navarro,M,2024-03-16,Braunschweig
11348,Shawn,Rai,M,2024-03-31,Paderborn
11349,Mindy,Luo,F,2025-01-13,München
11350,Cara,Zhou,F,2024-02-05,Peterborough
11351,Anne,Ramos,F,2022-06-12,London
11352,Raymond,Rodriguez,M,2024-05-01,Pantin
11353,Carrie,Ortega,F,2022-06-12,Warrington
11354,Deanna,Suarez,F,2024-12-03,Grevenbroich
11355,Roberto,Gutierrez,M,2024-09-26,Wokingham
11356,Terrence,Carson,M,2022-05-10,Lavender Bay
11357,Ramon,Ye,M,2022-06-18,Caloundra
11358,Cynthia,Malhotra,F,2022-06-28,Coffs Harbour
11359,Jarrod,Prasad,M,2022-06-13,Malabar
11360,Tyrone,Serrano,M,2022-06-27,Rockhampton
11361,Cindy,Ramos,F,2024-10-01,Newcastle
11362,Damien,Shan,M,2024-03-29,Cranbourne
11363,Julian,Ross,M,2022-06-08,Melbourne
11364,Jennifer,Collins,F,2022-06-07,Geelong
11365,Brittney,Sun,F,2022-05-31,Findon
11366,Virginia,Patel,F,2024-06-24,Seaford
11367,Calvin,Nara,M,2024-07-07,North Sydney
11368,Edward,Miller,M,2022-06-24,Rockhampton
11369,Ashlee,Tang,F,2024-07-05,Findon
11370,Alicia,Xu,F,2024-07-13,South Melbourne
11371,Lacey,Jai,F,2024-11-07,Rockhampton
11372,Wendy,Romero,F,2022-06-07,Brisbane
11373,Carly,Luo,F,2024-08-27,Salzgitter
11374,Jimmy,Ortega,M,2024-04-15,Werne
11375,Francisco,Martinez,M,2024-10-17,High Wycombe
11376,Lance,Vazquez,M,2024-10-15,Liverpool
11377,David,Robinett,M,2024-02-28,Solingen
11378,Shannon,Liang,F,2023-10-17,Metz
11379,Gary,Vazquez,M,2023-10-02,Boulogne-Billancourt
11380,Mitchell,Kumar,M,2022-10-11,Saarlouis
11381,Meredith,Raman,F,2022-06-12,London
11382,Edward,Patterson,M,2023-11-03,Roubaix
11383,Marie,Gill,F,2025-01-01,Roissy en Brie
11384,Tiffany,Wang,F,2024-08-02,Les Ulis
11385,Miguel,Allen,M,2024-07-06,York
11386,Jaclyn,Cai,F,2024-11-02,Darmstadt
11387,Megan,Ramirez,F,2022-07-26,Gateshead
11388,Joseph,Martin,M,2022-07-03,York
11389,Karl,Shan,M,2024-11-17,Duesseldorf
11390,Christine,Raji,F,2024-11-07,Saint Germain en Laye
11391,Lindsay,Xie,F,2024-10-26,Salzgitter
11392,Willie,Zhao,M,2024-03-29,Frankfurt
11393,Kurt,Pal,M,2024-07-16,Saint Ouen
11394,George,McDonald,M,2022-07-04,Milton Keynes
11395,Beth,Gutierrez,F,2022-11-14,Frankfurt
11396,Ian,Lopez,M,2024-10-26,Saarlouis
11397,Latoya,Shan,F,2024-07-07,Paris
11398,Colin,Nath,M,2022-07-03,Newcastle upon Tyne
11399,Brenda,Mehta,F,2024-04-13,Paris
11400,Franklin,Raji,M,2022-07-15,London
11401,Linda,Navarro,F,2023-10-28,Paris
11402,Kelli,Cai,F,2023-11-07,Orleans
11403,Nancy,Schmidt,F,2023-10-28,Saint Ouen
11404,Megan,Taylor,F,2024-02-10,Kassel
11405,Bonnie,Goel,F,2024-03-31,Bonn
11406,Latoya,Xu,F,2023-11-04,Paris
11407,Mario,She,M,2024-06-23,Münster
11408,Darren,Gill,M,2024-03-05,London
11409,Jacqueline,Hayes,F,2023-11-17,Saint Germain en Laye
11410,Maurice,Goel,M,2023-11-13,Paris
11411,Devin,Ross,M,2024-08-04,Ingolstadt
11412,Sydney,Bryant,F,2022-11-05,Ingolstadt
11413,Megan,Stewart,F,2022-08-10,Gateshead
11414,Ian,Richardson,M,2022-08-13,Kirkby
11415,Randy,She,M,2024-08-16,Darmstadt
11416,Katrina,Becker,F,2023-11-07,Croix
